"year","nestID","tagged","tagID","BS"
"2018",2160,"no",0,1
"2018",2161,"no",0,3
"2018",2162,"no",0,2
"2018",2163,"no",0,2
"2018",2165,"no",0,3
"2018",2167,"no",0,2
"2018",2168,"no",0,0
"2018",2169,"no",0,3
"2018",2170,"no",0,2
"2018",2171,"no",0,2
"2018",2172,"yes",6358,2
"2018",2173,"no",0,1
"2018",2174,"no",0,3
"2018",2177,"no",0,3
"2018",2178,"no",0,1
"2018",2179,"no",0,1
"2018",2180,"no",0,1
"2018",2181,"no",0,1
"2018",2182,"no",0,2
"2018",2183,"no",0,2
"2018",2184,"no",0,0
"2018",2186,"no",0,1
"2018",2187,"no",0,2
"2018",2188,"no",0,3
"2018",2189,"no",0,2
"2018",2191,"yes",760,1
"2018",2191,"yes",763,1
"2018",2193,"no",0,2
"2018",2194,"no",0,2
"2018",2195,"no",0,1
"2018",2196,"no",0,1
"2018",2199,"no",0,0
"2018",2200,"no",0,2
"2018",2201,"no",0,0
"2018",2202,"no",0,0
"2018",2203,"no",0,2
"2018",2204,"no",0,1
"2018",2205,"no",0,1
"2018",2206,"no",0,2
"2018",2208,"yes",6288,1
"2018",2208,"yes",6289,1
"2018",2210,"no",0,0
"2018",2211,"no",0,1
"2018",2214,"no",0,0
"2018",2215,"no",0,2
"2018",2216,"no",0,0
"2018",2219,"no",0,0
"2018",2220,"no",0,0
"2018",2221,"no",0,0
"2018",2222,"no",0,0
"2018",2225,"no",0,0
"2018",2227,"no",0,0
"2018",2233,"no",0,0
"2018",2238,"no",0,0
"2018",2239,"no",0,0
"2018",2245,"yes",1608,2
"2018",2247,"yes",6291,1
"2018",2248,"no",0,0
"2018",2249,"no",0,1
"2018",2251,"yes",6298,0
"2018",2257,"no",0,1
"2018",2259,"no",0,1
"2018",2261,"no",0,1
"2018",2264,"yes",6118,1
"2018",2266,"no",0,1
"2018",2268,"no",0,0
"2018",2273,"no",0,2
"2018",2279,"no",0,1
"2018",2280,"no",0,2
"2018",2282,"no",0,1
"2018",2283,"no",0,1
"2019",2285,"no",0,0
"2019",2287,"no",0,1
"2019",2296,"no",0,2
"2019",2299,"yes",6285,2
"2019",2300,"no",0,1
"2019",2302,"yes",1608,0
"2019",2303,"no",0,1
"2019",2304,"no",0,1
"2019",2305,"no",0,1
"2019",2306,"no",0,1
"2019",2309,"no",0,2
"2019",2310,"no",0,2
"2019",2311,"no",0,1
"2019",2312,"no",0,1
"2019",2313,"yes",6288,2
"2019",2313,"yes",6289,2
"2019",2314,"no",0,1
"2019",2316,"no",0,0
"2019",2317,"no",0,1
"2019",2319,"no",0,0
"2019",2320,"no",0,1
"2019",2323,"no",0,0
"2019",2324,"no",0,0
"2019",2326,"no",0,1
"2019",2327,"no",0,0
"2019",2328,"no",0,1
"2019",2329,"no",0,0
"2019",2330,"no",0,2
"2019",2331,"no",0,1
"2019",2333,"no",0,0
"2019",2334,"no",0,1
"2019",2361,"no",0,1
"2019",2362,"no",0,1
"2019",2365,"no",0,1
"2019",2366,"no",0,1
"2019",2367,"no",0,2
"2019",2368,"no",0,0
"2019",2369,"no",0,0
"2019",2370,"no",0,1
"2019",2372,"no",0,2
"2019",2373,"no",0,0
"2019",2374,"no",0,2
"2019",2376,"no",0,0
"2019",2377,"no",0,1
"2019",2378,"no",0,0
"2019",2379,"no",0,0
"2019",2380,"no",0,1
"2019",2381,"no",0,0
"2019",2382,"no",0,0
"2019",2384,"no",0,0
"2019",2385,"no",0,1
"2019",2386,"no",0,1
"2019",2390,"yes",760,1
"2019",2390,"yes",763,1
"2019",2391,"no",0,1
"2019",2392,"no",0,0
"2019",2395,"no",0,1
"2019",2396,"yes",6291,1
"2019",2397,"no",0,2
"2019",2398,"no",0,1
"2019",2399,"no",0,2
"2019",2401,"no",0,1
"2019",2403,"no",0,1
"2019",2404,"no",0,1
"2019",2406,"no",0,0
"2019",2407,"no",0,1
